backers_count,blurb,country,country_displayable_name,created_at,currency,currency_symbol,currency_trailing_code,current_currency,deadline,disable_communication,friends,fx_rate,goal,id,is_backing,is_starrable,is_starred,launched_at,name,pledged,slug,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_pledged,usd_type,blurb_len,is_successful,is_failed,is_live,create_year,create_month,create_day,launch_year,launch_month,launch_day,deadline_year,deadline_month,deadline_day,state_change_year,state_change_month,state_change_day,backing_days,is_spotlight,is_staff_pick
10,"A PVC plastic cross body bag with an Ankara tote bag attached to the bottom of the outer bag, with black chain links as the handle.",GB,the United Kingdom,2019-08-05 16:10:45,GBP,£,False,USD,2019-09-04 20:06:37,False,,1.28212032,600.0,851730373,,False,,2019-08-05 20:06:37,accessories,601.0,fashion,True,False,successful,2019-09-04 20:06:37,1.21610118,730.8768092,domestic,26,1,0,0,2019,8,5,2019,8,5,2019,9,4,2019,9,4,30,1,0
39,If you fail ... get back up!,US,the United States,2018-09-17 11:57:09,USD,$,True,USD,2018-10-03 22:01:00,False,,1.0,2025.0,1568499327,,False,,2018-09-18 12:12:03,punk,2238.0,music,True,False,successful,2018-10-03 22:01:00,1.0,2238.0,international,7,1,0,0,2018,9,17,2018,9,18,2018,10,3,2018,10,3,15,1,0
1,"VITA Card Game! Carte da gioco realizzate in digitale, regole intuitive, Design da urlo.",IT,Italy,2019-09-23 19:40:23,EUR,€,False,USD,2019-11-12 22:29:28,False,,1.10775339,4999.0,939933185,,True,,2019-09-23 21:29:28,playing cards,1.0,games,False,False,live,2019-09-23 21:29:28,1.10197087,1.10197087,domestic,14,0,0,1,2019,9,23,2019,9,23,2019,11,12,2019,9,23,50,0,0
86,"The tale of a (not quite) story-book Princess, with whimsical pen-and-ink illustrations on practically every page.",US,the United States,2017-07-25 04:34:55,USD,$,True,USD,2017-11-01 03:00:00,False,,1.0,1000.0,2086999299,,False,,2017-10-03 14:53:18,children's books,2126.0,publishing,True,True,successful,2017-11-01 03:00:02,1.0,2126.0,domestic,16,1,0,0,2017,7,25,2017,10,3,2017,11,1,2017,11,1,28,1,1
0,Going to Yale in the fall photograph the school and the surrounding areas.,US,the United States,2014-08-20 16:15:22,USD,$,True,USD,2014-09-26 04:58:46,False,,1.0,3500.0,1791661273,,False,,2014-08-27 04:58:46,places,0.0,photography,False,False,failed,2014-09-26 04:58:46,1.0,0.0,domestic,13,0,1,0,2014,8,20,2014,8,27,2014,9,26,2014,9,26,30,0,0
38,"An all-inclusive, easy to learn, and fun card game made by a high school sophomore!",US,the United States,2019-05-15 03:51:54,USD,$,True,USD,2019-08-07 23:00:07,False,,1.0,140.0,79755422,,False,,2019-07-08 23:00:07,tabletop games,1245.0,games,True,False,successful,2019-08-07 23:00:07,1.0,1245.0,domestic,15,1,0,0,2019,5,15,2019,7,8,2019,8,7,2019,8,7,30,1,0
251,Track all your exercises in the gym and get AI based recommendations on how to achieve your strength training goals faster.,DE,Germany,2018-06-20 08:34:19,EUR,€,False,USD,2018-09-07 16:29:22,False,,1.10775339,30000.0,1141586726,,False,,2018-08-08 16:29:22,gadgets,38940.0,technology,True,False,successful,2018-09-07 16:29:24,1.15554837,44997.053530000005,domestic,21,1,0,0,2018,6,20,2018,8,8,2018,9,7,2018,9,7,30,1,0
2,"After having 2 crazy kiddos and recycling a lot of baby food jars, the light bulb went off, and Redneck Candles & More was created!",US,the United States,2014-10-14 23:25:07,USD,$,True,USD,2014-11-16 00:03:00,False,,1.0,1000.0,1800915595,,False,,2014-10-16 23:03:00,candles,21.0,crafts,False,False,failed,2014-11-16 00:03:00,1.0,21.0,domestic,25,0,1,0,2014,10,14,2014,10,16,2014,11,16,2014,11,16,30,0,0
14,Dance film / music video featuring professional ballerinas & contemporary dancers with scoliosis for a scoliosis awareness non-profit,US,the United States,2019-04-17 17:28:23,USD,$,True,USD,2019-05-01 17:30:00,False,,1.0,5000.0,1125615652,,False,,2019-04-22 19:07:10,film & video,5240.0,film & video,True,False,successful,2019-05-01 17:30:00,1.0,5240.0,domestic,18,1,0,0,2019,4,17,2019,4,22,2019,5,1,2019,5,1,8,1,0
466,"Modibodi™ Swim is your clever new cosi. Poolside or beachside, they are period and pee-proof!",AU,Australia,2017-08-08 06:34:17,AUD,$,True,USD,2017-11-08 17:05:17,False,,0.67841455,25000.0,907033915,,False,,2017-10-09 16:05:17,ready-to-wear,53198.0,fashion,True,False,successful,2017-11-08 17:05:17,0.77689997,41329.5246,domestic,15,1,0,0,2017,8,8,2017,10,9,2017,11,8,2017,11,8,30,1,0
2,"Humans are long gone, and left behind service bots with simple instructions : Do Nothing. But how long will that last?",US,the United States,2019-07-29 17:45:14,USD,$,True,USD,2019-10-31 20:55:26,False,,1.0,20000.0,1811012107,,True,,2019-10-01 20:55:26,video games,31.0,games,False,False,live,2019-10-01 20:55:26,1.0,31.0,domestic,21,0,0,1,2019,7,29,2019,10,1,2019,10,31,2019,10,1,30,0,0
